transaction_key,party_order,entity_key,ohio_entity_number,legal_name,party_role,survivor_entity_key,party_specific_document_id,party_document_id_state,effective_date,property_search_rule,primary_evidence_page,primary_evidence_ref,edge_verification_state,notes
OH-MERGER-1989-12-22-713548,0,OH:713548,713548,"ARCHITONICS, INC.",survivor,OH:713548,G774_0107,primary_image_confirmed,1989-12-22,Search this name from 1989-12-22 forward and continue through its later terminal history.,3-8,OH-SOS:713548:G774_0107,primary_agreement_confirmed,"The agreement preserves the Architonics name and its pre-merger officers, directors, articles, regulations, and agent."
OH-MERGER-1989-12-22-713548,1,OH:710873,710873,"BLACKLICK PROPERTIES, INC.",predecessor,OH:713548,G774_0116,primary_image_confirmed,1989-12-22,Search Blacklick through 1989-12-22; search Architonics from that date forward; also search both names for confirmatory deeds and explicit successor-by-merger language.,3-8,OH-SOS:713548:G774_0107,primary_agreement_confirmed,All three pages of the exact party stub were visually reviewed. The stub confirms MEX status and entity identity but does not name the survivor; the agreement supplies the Architonics edge and asset-vesting rule.
OH-MERGER-1989-12-22-713548,2,OH:713843,713843,"BRIARPATCH FIELDS, INC.",predecessor,OH:713548,G774_0119,primary_image_confirmed,1989-12-22,Search Briarpatch through 1989-12-22; search Architonics from that date forward; also search both names for confirmatory deeds and explicit successor-by-merger language.,3-8,OH-SOS:713548:G774_0107,primary_agreement_confirmed,All three pages of the exact party stub were visually reviewed. The stub confirms MEX status and entity identity but does not name the survivor; the agreement supplies the Architonics edge and asset-vesting rule.
OH-MERGER-1989-12-22-713548,3,OH:713549,713549,"C & C HOOSIERS, INC.",predecessor,OH:713548,G774_0122,spot_checked_primary_image,1989-12-22,Search this predecessor through 1989-12-22; search Architonics from that date forward.,3-8,OH-SOS:713548:G774_0107,primary_agreement_confirmed,Outside the Dorothy Snow agent export; third three-frame MEX stub.
OH-MERGER-1989-12-22-713548,4,OH:713838,713838,"CANDLEBERRY COVE, INC.",predecessor,OH:713548,G774_0125,primary_image_confirmed,1989-12-22,Search Candleberry through 1989-12-22; search Architonics from that date forward; also search both names for confirmatory deeds and explicit successor-by-merger language.,3-8,OH-SOS:713548:G774_0107,primary_agreement_confirmed,"The formerly sequence-derived ID is now confirmed by visual review of all three pages. The stub states MEX only; it does not independently name Architonics, another constituent, an owner, or a parcel."
OH-MERGER-1989-12-22-713548,5,OH:720366,720366,"CHESSER ESTATES, INC.",predecessor,OH:713548,G774_0128,primary_image_confirmed,1989-12-22,Search Chesser Estates through 1989-12-22; search Architonics from that date forward; also search both names for confirmatory deeds and explicit successor-by-merger language.,3-8,OH-SOS:713548:G774_0107,primary_agreement_confirmed,"The formerly sequence-derived ID is now confirmed by visual review of all three pages. The stub states MEX only; it does not independently name Architonics, another constituent, an owner, or a parcel."
OH-MERGER-1989-12-22-713548,6,OH:728765,728765,CURRANT CORPORATION,predecessor,OH:713548,G774_0131,primary_image_confirmed,1989-12-22,Search Currant Corporation through 1989-12-22; search Architonics from that date forward; also search both names for confirmatory deeds and explicit successor-by-merger language.,3-8,OH-SOS:713548:G774_0107,primary_agreement_confirmed,"All three pages of the exact party stub were visually reviewed. The stub confirms MEX status and entity identity but does not name the survivor, another constituent, an owner, or a parcel; G774_0107 supplies the Architonics edge and asset-vesting rule."
OH-MERGER-1989-12-22-713548,7,OH:724615,724615,DONNER DEVELOPMENT COMPANY,predecessor,OH:713548,G774_0134,primary_image_confirmed,1989-12-22,Search Donner Development Company through 1989-12-22; search Architonics from that date forward; also search both names for confirmatory deeds and explicit successor-by-merger language.,3-8,OH-SOS:713548:G774_0107,primary_agreement_confirmed,"All three pages of the exact party stub were visually reviewed. The stub confirms MEX status and entity identity but does not name the survivor, another constituent, an owner, or a parcel; G774_0107 supplies the Architonics edge and asset-vesting rule."
OH-MERGER-1989-12-22-713548,8,OH:713922,713922,"FRONTIER TRADERS, INC.",predecessor,OH:713548,G774_0137,primary_image_confirmed,1989-12-22,Search Frontier through 1989-12-22; search Architonics from that date forward; also search both names for confirmatory deeds and explicit successor-by-merger language.,3-8,OH-SOS:713548:G774_0107,primary_agreement_confirmed,"The formerly sequence-derived ID is now confirmed by visual review of all three pages. The stub states MEX only; it does not independently name Architonics, another constituent, an owner, or a parcel."
OH-MERGER-1989-12-22-713548,9,OH:731364,731364,GRAETON DEVELOPMENT COMPANY,predecessor,OH:713548,G774_0140,primary_image_confirmed,1989-12-22,Search Graeton Development Company through 1989-12-22; search Architonics from that date forward; also search both names for confirmatory deeds and explicit successor-by-merger language.,3-8,OH-SOS:713548:G774_0107,primary_agreement_confirmed,"All three pages of the exact party stub were visually reviewed. The stub confirms MEX status and entity identity but does not name the survivor, another constituent, an owner, or a parcel; G774_0107 supplies the Architonics edge and asset-vesting rule."
OH-MERGER-1989-12-22-713548,10,OH:713923,713923,"KITZMILLER PROPERTIES, INC.",predecessor,OH:713548,G774_0143,primary_image_confirmed,1989-12-22,Search Kitzmiller through 1989-12-22; search Architonics from that date forward; also search both names for confirmatory deeds and explicit successor-by-merger language.,3-8,OH-SOS:713548:G774_0107,primary_agreement_confirmed,"The formerly sequence-derived ID is now confirmed by visual review of all three pages. The stub states MEX only; it does not independently name Architonics, another constituent, an owner, or a parcel."
OH-MERGER-1989-12-22-713548,11,OH:712264,712264,"LEEACE, INC.",predecessor,OH:713548,G774_0146,primary_image_confirmed,1989-12-22,Search both LEEACE spellings through 1989-12-22; search Architonics from that date forward; also search both names for confirmatory deeds and explicit successor-by-merger language.,3-8,OH-SOS:713548:G774_0107,primary_agreement_confirmed,"All three pages of the exact party stub were visually reviewed. The stub confirms MEX status and charter 712264 but does not name the survivor; the export and formation packet spell LEEACE INC. while the agreement prints LEEACE, INC."
OH-MERGER-1989-12-22-713548,12,OH:728767,728767,MARGIN MANAGEMENT COMPANY,predecessor,OH:713548,G774_0149,primary_image_confirmed,1989-12-22,Search Margin Management Company through 1989-12-22; search Architonics from that date forward; also search both names for confirmatory deeds and explicit successor-by-merger language.,3-8,OH-SOS:713548:G774_0107,primary_agreement_confirmed,"All three pages of the exact party stub were visually reviewed. The stub confirms MEX status and entity identity but does not name the survivor, another constituent, an owner, or a parcel; G774_0107 supplies the Architonics edge and asset-vesting rule."
OH-MERGER-1989-12-22-713548,13,OH:719943,719943,MEADE DEVELOPMENT CORPORATION,predecessor,OH:713548,G774_0152,primary_image_confirmed,1989-12-22,Search Meade Development Corporation through 1989-12-22; search Architonics from that date forward; also search both names for confirmatory deeds and explicit successor-by-merger language.,3-8,OH-SOS:713548:G774_0107,primary_agreement_confirmed,"The formerly sequence-derived ID is now confirmed by visual review of all three pages. The stub states MEX only; it does not independently name Architonics, another constituent, an owner, or a parcel."
OH-MERGER-1989-12-22-713548,14,OH:698293,698293,"NEW ALBANY 45, INC.",predecessor,OH:713548,G774_0155,inferred_contiguous_sequence_not_opened,1989-12-22,Search this predecessor through 1989-12-22; search Architonics from that date forward.,3-8,OH-SOS:713548:G774_0107,primary_agreement_confirmed,Outside the Dorothy Snow agent export; exact Ohio number confirmed by official exact-name search.
OH-MERGER-1989-12-22-713548,15,OH:698292,698292,"NEW ALBANY 42, INC.",predecessor,OH:713548,G774_0158,inferred_contiguous_sequence_not_opened,1989-12-22,Search this predecessor through 1989-12-22; search Architonics from that date forward.,3-8,OH-SOS:713548:G774_0107,primary_agreement_confirmed,Outside the Dorothy Snow agent export; exact Ohio number confirmed by official exact-name search.
OH-MERGER-1989-12-22-713548,16,OH:698294,698294,"NEW ALBANY 100, INC.",predecessor,OH:713548,G774_0161,inferred_contiguous_sequence_not_opened,1989-12-22,Search this predecessor through 1989-12-22; search Architonics from that date forward.,3-8,OH-SOS:713548:G774_0107,primary_agreement_confirmed,Outside the Dorothy Snow agent export; exact Ohio number confirmed by official exact-name search.
