name,clean_pages,total_pages,noise_pct,findings_exact,findings_text
PALM BEACH POLICE DEPARTMENT,965,1007,4.2,0,1
Securities Investor Protection Corporation,963,964,0.1,0,0
"TOURmaline Partners, LLC",959,974,1.5,0,0
SOUTHERN DISTRICT OF FLORIDA,953,974,2.2,0,3
Travel Consumer Restitution Corporation,919,919,0.0,0,0
"Next Management, LLC",918,919,0.1,0,0
Yahoo! Mail,913,915,0.2,0,0
U.S. SECURITIES AND EXCHANGE COMMISSION,911,1025,11.1,0,0
"U.S. District Court, S.D.N.Y.",906,977,7.3,0,0
GMAX,906,907,0.1,0,0
yahoo-inc.com,904,945,4.3,0,0
Goldman Sachs,902,968,6.8,0,59
S.D.N.Y. United States Attorney's office,890,928,4.1,0,0
ACCESS FUND,887,887,0.0,0,3
"ICAPITAL ADVISORS, LLC",871,871,0.0,0,1
"JEEPERS, INC.",863,868,0.6,9,25
Barclays,855,886,3.5,0,0
FIFTH THIRD BANK,855,855,0.0,0,1
Adobe Inc.,851,859,0.9,0,0
ASU,836,878,4.8,0,0
DBOI Global Services Private Limited,829,832,0.4,0,0
NYSG LLC,828,828,0.0,0,18
CORE:,822,836,1.7,0,0
ADP INC.,812,813,0.1,0,0
"INTERNATIONAL JET INTERIORS, INC.",806,809,0.4,0,0
Limited Partnership (LP),804,808,0.5,0,0
Underlying Fund,804,804,0.0,0,0
DBAMERICAS,800,802,0.2,0,0
"Zorro Ranch, LLC",798,798,0.0,2,7
Google Calendar,797,13091,93.9,0,2
THE CHOPRA FOUNDATION,784,790,0.8,0,0
FIRSTBANK PUERTO RICO A/C,775,775,0.0,0,0
JET BLUE,763,766,0.4,0,0
JPM FINANCIAL SPONSORS,755,755,0.0,0,0
J.P. Morgan Companies,752,753,0.1,0,0
UNITED STATES OF AMERICA,752,760,1.1,1,12
THE BANK OF NEW YORK MELLON CORPORATION,748,755,0.9,0,0
Morgan Stanley,744,953,21.9,0,42
"STC, Inc.",733,734,0.1,1,0
FACEBOOK INC-A,729,889,18.0,0,0
CRW 2009 LLC,726,726,0.0,0,3
"ATTERBURY, GOLDBERGER, & WEISS, P.A.",718,722,0.6,0,0
"TD BANK, N.A.",718,734,2.2,0,0
"U.S. Attorney's Office, S.D.N.Y.",717,829,13.5,0,0
GEW 2009 LLC,715,715,0.0,0,3
Visacentral.c,707,707,0.0,0,0
SECOND CIRCUIT,704,732,3.8,0,5
U.S. Bureau of Prisons,702,727,3.4,0,0
JPMISI's,699,703,0.6,0,0
FIRSTBANK A/C,696,697,0.1,0,0
"JSC INTERIORS, LLC",695,696,0.1,2,6
"KELLERHALS FERGUSON KROBLIN, PLLC",690,690,0.0,2,13
"FARMER, JAFFE, WEISSING, EDWARDS, FISTOS, & LEHRMAN, P.L.",681,691,1.4,0,0
Bear Stearns,677,732,7.5,2,89
Mail Delivery Subsystem,677,677,0.0,0,0
"Twitter, Inc.",670,773,13.3,0,0
"Epstein Interests, Inc.",669,673,0.6,4,0
"n/o Mort, Inc",669,670,0.1,1,0
Customer Valuations Group,666,666,0.0,0,0
The Peggy Siegal Company,659,662,0.5,0,0
J.P. MORGAN CHASE AND CO.,652,654,0.3,0,0
The Private Bank of J.P. Morgan,644,658,2.1,0,0
"Credit Suisse Securities (USA), LLC",639,640,0.2,0,0
The General Partner,637,637,0.0,0,3
"CRW 2007, LLC",627,627,0.0,0,3
"GEW 2007, LLC",626,626,0.0,0,3
Consumer Affairs Division of the Department of Business and Industry,624,624,0.0,0,0
Junkermanngroup,624,625,0.2,0,0
ASSISTANT UNITED STATES ATTORNEY,621,635,2.2,0,0
OPR,617,639,3.4,0,0
COMPANY AMERICAS,607,607,0.0,0,16
IMAX Corporation.,603,605,0.3,0,0
"CarsCo, Inc.",594,595,0.2,0,0
BNY Mellon Corporation,593,596,0.5,0,0
CITICAR,582,582,0.0,0,0
"American Century Investment Management, Inc.",581,581,0.0,0,0
The Chopra Center for Wellbeing,580,582,0.3,0,0
GULFSTREAM V,577,582,0.9,0,0
The Office of the State Attorney,570,587,2.9,0,0
"American Century Investment Services, Inc.",566,566,0.0,0,0
MORGAN GUARANTY TRUST COMPANY OF NEW YORK,566,566,0.0,0,1
Cohen & Gresser L.L.P.,565,587,3.7,0,0
"UNITED AIRLINES, INC.",563,567,0.7,0,0
The Core Club,561,564,0.5,0,1
Fed. Ex.,560,562,0.4,0,0
LLP of Black Family Partners LP,559,559,0.0,0,0
ASIA GATEWAY LIMITED,556,557,0.2,1,0
EUROCLEAR,554,554,0.0,0,0
Microsoft Corporation,552,642,14.0,0,0
DBAB,550,550,0.0,0,0
(NYPD),547,586,6.7,0,0
THE BOEING COMPANY,538,553,2.7,0,0
"J.P. Morgan Trust Company, N. A.",537,538,0.2,0,0
School of Earth and Space Exploration,535,538,0.6,0,0
THE JOCKEY CLUB,533,533,0.0,0,2
Skype Limited,533,587,9.2,0,0
HARVARD UNIVERSITY,532,623,14.6,0,3
Jennie Enterprise,532,534,0.4,0,0
"THE C.D.U.G. FOUNDATION, INC.",529,542,2.4,3,0
BARD COLLEGE,527,528,0.2,0,2
"DELSON International, Inc.",522,522,0.0,0,0
COLLEGE OF LIBERAL ARTS AND SCIENCES,511,512,0.2,0,0
"Amazon, Inc.",510,556,8.3,0,0
LSJ & GSJ,510,510,0.0,0,0
FEDERAL RESERVE B.A. CO,507,531,4.5,0,0
"FIRSTBANK, PR",505,505,0.0,0,27
jeevacation@g,503,503,0.0,0,0
HOUSE OVERSIGHT,502,570,11.9,0,90
PBW/WM/MIS ETL/PBW 15116,501,501,0.0,0,0
"AXCIS INFORMATION NETWORK, INC.",500,500,0.0,0,1
BLOOD HORSE LLC,499,499,0.0,0,3
TCRC,498,498,0.0,0,0
California Consumer Travel Restitution Fund,494,494,0.0,0,0
MDC,493,501,1.6,0,0
Dubai World Corporation,492,494,0.4,0,0
"AMERICAN EXPORT & CO.,INC.",490,490,0.0,0,0
Adobe Acrobat Reader,490,495,1.0,0,0
Yahoo! Почту!,490,522,6.1,0,0
LAW OFFICES OF BOBBI C. STERNHEIM,486,496,2.0,0,0
The UN,483,520,7.1,0,0
J E[jeevacation@gmail.com],482,489,1.4,0,0
THE GRAYSON JOCKEY CLUB,479,479,0.0,0,0
Sprint Corporation,479,485,1.2,0,0
DB.COM,473,473,0.0,0,0
EFTA,465,504,7.7,0,0
The Origins Project =t ASU,464,469,1.1,0,0
U.S. Attorney's,461,504,8.5,0,0
CIRCUIT COURT OF THE FIFTEENTH JUDICIAL CIRCUIT COURT,459,464,1.1,0,0
"DAILY NEWS, L.P.",458,489,6.3,0,0
AMAZON COM INC COM,452,502,10.0,0,0
"Media Lab, MIT",451,457,1.3,1,1
"Boston Properties, Inc.",444,447,0.7,0,1
Global Counsel LLP,444,444,0.0,0,0
J.P.MCC,444,458,3.1,0,0
MANHATTAN FILM CENTER,444,445,0.2,0,0
"BlueMountain Capital Management, LLC",443,443,0.0,4,0
googlemail.com,434,434,0.0,0,0
U. S. Supreme Court,428,514,16.7,0,0
California Travel Consumer Restitution Fund (TCRF),426,426,0.0,0,0
Gensler Group,425,425,0.0,0,0
LinkedIn Corporation,425,1231,65.5,0,0
EQUIBASE COMPANY,424,424,0.0,0,3
"SEARCY, DENNEY, SCAROLA, BARNHART & SHIPLEY, P.A.",424,427,0.7,0,0
Edmond de Rothschild (France),419,426,1.6,0,0
"OSSA PROPERTIES, INC.",418,419,0.2,1,4
Etisalat,417,417,0.0,0,0
"LANDMARK LAND COMPANY, INC.",417,417,0.0,1,1
M AND T BANK A/C,416,421,1.2,0,0
A JET AVIATION COMPANY,416,426,2.3,0,0
USA Inc.,415,424,2.1,0,0
THE JOCKEY CLUB SAFETY NET FOUNDATION N,414,414,0.0,0,0
CON ED OF NY,411,411,0.0,0,0
THE UNITED INC,411,411,0.0,0,0
"Attia Medical, PC",409,409,0.0,0,0
PBW/WM/MIS ETL/PBW,400,400,0.0,0,0
Consumer Financial Protection Bureau,395,408,3.2,0,0
MORGANONLINE.COM,391,391,0.0,0,0
DBTCA,389,390,0.3,0,0
ERISA Limited,382,383,0.3,0,0
TCRF,381,381,0.0,0,0
The UPS S,381,389,2.1,0,0
Orange F.,380,380,0.0,0,0
U.S. News and World Report,380,385,1.3,0,0
CENTURION TRAVEL,378,378,0.0,0,2
Glendower U.S.,377,377,0.0,0,0
"THE J. EPSTEIN VIRGIN ISLANDS FOUNDATION, INC.",376,380,1.1,2,0
"SUMMIT EQUITIES, LLC",376,376,0.0,0,0
Georgetown University Endowment,373,382,2.4,0,0
"Sotheby's, Inc.",372,379,1.8,0,1
GOVERNMENT OF THE VIRGIN ISLANDS OF THE UNITED STATES,366,368,0.5,0,0
aol.c=m,364,372,2.2,0,0
Hotmail.com,364,364,0.0,0,4
REUTERS,363,474,23.4,0,0
M=T Media Lab,362,364,0.5,1,0
Apple Store (U.S.),361,362,0.3,0,0
CNN,357,434,17.7,0,0
ISDA,356,358,0.6,0,0
FORD MOTOR CREDIT CO. LLC,352,352,0.0,0,0
KCP U.S.,352,353,0.3,0,0
U. S. Congress,351,411,14.6,0,0
S&G Investment Manager,351,354,0.8,0,0
"J.P. Morgan Chase Bank, N.A.",349,360,3.1,0,0
CHRISTIE'S INC.,348,359,3.1,0,0
ASHLEY HOLDINGS INC,347,347,0.0,0,6
JETBLUE,347,353,1.7,0,0
"Connecticut Daily Tax Free Income Fund, Inc.",346,346,0.0,0,0
ECB,346,388,10.8,0,0
MAX FOUNDATION,346,346,0.0,0,1
FAA,344,358,3.9,0,0
LONDON TREASURY SERVICES,344,344,0.0,0,0
VISA U.S.A. Inc.Incorporated,343,347,1.2,0,0
U.S. CBP,342,347,1.4,0,0
"BIOIMPACT, INC.",341,341,0.0,0,0
TWITTER INC COM,341,349,2.3,0,0
The Washington Post Company,340,435,21.8,0,0
ATLANTIC AVIATION,338,341,0.9,0,0
A USVI CORPORATION,335,338,0.9,0,8
Department of Justice of the United States,335,353,5.1,7,0
KATI FORSYTHE 2014 GRAT,335,335,0.0,0,3
"D
Dangene and Jennie Enterprise",333,333,0.0,0,0
Samsung C&T Company,333,339,1.8,0,0
Glendower GP,331,331,0.0,0,0
The Zorro Trust,327,329,0.6,2,0
GENERAL MOTORS CORPORATION,325,342,5.0,0,0
"New Jersey Daily Municipal Income Fund, Inc.",325,325,0.0,0,0
GSJ LLC,324,324,0.0,0,0
IOWA TRAVEL AGENCY,322,326,1.2,0,0
NYTIMES.COM,322,356,9.6,0,1
"Home Depot, Inc.",319,328,2.7,0,0
LUFTHANSA AG,319,322,0.9,0,0
"JE JE JE, Inc.",316,317,0.3,0,0
Moody's Corporation,316,332,4.8,0,0
"Burman, Critton, Luttier and Coleman, LLP",312,312,0.0,0,0
U.S. DEPARTMENT OF THE TREASURY,312,337,7.4,0,0
"J.P. Morgan Funds Distributor, Inc.",312,312,0.0,0,0
KATI WANEK- FORSYTHE 2015 GRAT,311,311,0.0,0,0
CFTC,307,312,1.6,0,0
JETBLUE AIRWAYS CORP.,307,308,0.3,0,0
Credit Suisse First Boston Corporation,304,304,0.0,0,1
P CIT GROUP INC,303,304,0.3,0,0
NYU,302,310,2.6,0,0
CHASE USA,301,301,0.0,0,0
Myspace Inc.,299,312,4.2,0,0
"PayPal, Inc.",299,321,6.9,0,0
"Personal Genius, LLC",299,299,0.0,0,0
NYT Company,298,335,11.0,0,0
"COLONIAL BANK, NA",296,296,0.0,0,0
"ASPEN GROVE CAPITAL, LLC",295,303,2.6,0,0
"WACHOVIA BANK, N. A.",295,295,0.0,0,0
"Chase Bank USA, N. A.",295,295,0.0,0,0
U.S. Key Client Partners,295,298,1.0,0,0
"TERRAMAR PROJECT, INC.",294,300,2.0,1,1
The Origins Project at ASU,293,333,12.0,0,0
JIYO,292,292,0.0,0,0
INTEL CORPORATION,290,302,4.0,0,0
JPMIS,290,290,0.0,0,0
TED U,289,300,3.7,0,0
"KEYHOLE PARTNERS, LLC",288,288,0.0,0,1
HARVARD MEDICAL SCHOOL,287,315,8.9,0,0
hotmail.co,287,288,0.3,0,4
JOSEPHSON ENTERTAINMENT,286,288,0.7,0,0
Jeffrey Epstein's group,285,285,0.0,224,0
FINE HOTELS & RESORTS,285,285,0.0,0,0
"Forbes, Inc",285,313,8.9,0,0
BRITISH AIRWAYS P.L.C.,284,295,3.7,0,0
KIRKLAND AND ELLIS LLP,284,338,16.0,92,2
"INSURANCE OFFICE OF CENTRAL, OHIO",282,282,0.0,0,1
THE WALL STREET JOURNAL.,282,341,17.3,0,2
iCapital's,281,281,0.0,0,0
USMS,280,290,3.4,0,0
Merchants Commercial Bank Inc.,279,279,0.0,0,0
KOBRE & KIM =LP,277,282,1.8,2,0
The New York Academy of Art,276,294,6.1,0,0
DANGENE ENTERPRISE,273,275,0.7,0,0
(USAFLS),272,277,1.8,0,0
TRISTAR WORLDWIDE TRISTAR,272,272,0.0,0,0
"Apollo Group, Inc.",271,287,5.6,0,0
JEEUnauthorized,271,271,0.0,0,0
THE WHITE HOUSE,271,354,23.4,0,10
Martin's Institute,270,272,0.7,0,0
Akamai Technologies Inc.,267,267,0.0,0,0
CNH,267,267,0.0,0,0
"Edge Foundation, Inc.",267,274,2.6,3,5
U.S. SECURITIES ACT,267,268,0.4,0,0
U.S. INVESTMENT COMPANY ACT,266,266,0.0,0,0
The A=U Origins Project,266,278,4.3,0,0
media.mit.edu,265,266,0.4,0,0
MARTIN NOWAK'S INSTITUTE,264,265,0.4,1,1
BANCO POPULAR,262,263,0.4,0,8
"DB Secondary Opportunities Fund A, I, P.",262,262,0.0,0,0
J.P. MorganTeam,262,262,0.0,0,0
Sprint® Now Network,261,261,0.0,0,0
Valuations System,261,261,0.0,0,0
COUNTY OF PALM BEACH,259,274,5.5,0,0
"Freedom Air International, Inc.*",258,258,0.0,0,0
SHARI WAGNER 2014 GRAT,258,258,0.0,0,2
THE 2017 CATERPILLAR TRUST,258,301,14.3,43,55
S. J. Quinney College of Law,257,259,0.8,0,0
