sha256,path
3c045bd99d1c4f840db5096e31f559ef3829b955b58500d87d2f55717fa870b8,investigations/geo-group/sources/2026-07-14-lead-63730-garcia-adelanto-wrongful-death-wave11/courtlistener-docket-72097949-current.json
8f2ee5c91921e8be15874a30929a301f3b05f8ae3c3d1dfbe31ba9a18b968d7c,investigations/geo-group/sources/2026-07-14-lead-63730-garcia-adelanto-wrongful-death-wave11/courtlistener-docket-entries-72097949-current-paginated.json
4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,investigations/geo-group/sources/2026-07-14-lead-63730-garcia-adelanto-wrongful-death-wave11/courtlistener-opinions-caption-current.json
d05edb39f2903d34cd4cb542cfcab04ae928343ecf26bc45aed8ecae9f8e391d,investigations/geo-group/sources/2026-07-14-lead-63730-garcia-adelanto-wrongful-death-wave11/courtlistener-recap-search-caption-current.json
a4c93583df8fa374cd53a590d285b4c2c61f3ef6dca750fe2ae031a675e7c518,investigations/geo-group/sources/2026-07-14-lead-63730-garcia-adelanto-wrongful-death-wave11/courtlistener-recap-search-docket-current.json
bce9b79ea167a09c47cf07e9735b21af09af38c30ccc9cca18bd0e6859e28399,investigations/geo-group/sources/2026-07-14-lead-63730-garcia-adelanto-wrongful-death-wave11/courtlistener-requested-recap-documents-current.json
b467889b2573d0935abfa551861f7037e5f60e088a8ecfae30630ca76ed39ec7,investigations/geo-group/sources/2026-07-14-lead-63730-garcia-adelanto-wrongful-death-wave11/courtlistener-search-caption-current.json
c0704906848ece272aff56ee6130ed64d921e90f5c43593db3a79741623a5677,investigations/geo-group/sources/2026-07-14-lead-63730-garcia-adelanto-wrongful-death-wave11/ecf-1-attachment-1-civil-cover-sheet.pdf
e68fba596a15f5ad33a4f8a4eed2df7ffd66dca5fdb59c03250c172506c23e40,investigations/geo-group/sources/2026-07-14-lead-63730-garcia-adelanto-wrongful-death-wave11/ecf-30-order-to-show-cause.pdf
2e32126f054b8fd6acffb6f723ed5256a627a563f372bd69502782f9615fb90d,investigations/geo-group/sources/2026-07-14-lead-63730-garcia-adelanto-wrongful-death-wave11/ice-detainee-death-report-current.pdf
da92016cf9ba482944d863fc722b27e42799ef8cc02ce3285ed77be1fd48ded3,investigations/geo-group/sources/2026-07-14-lead-63730-garcia-adelanto-wrongful-death-wave11/internet-archive-recap-item-metadata.json
52b24a9b933590bf7e724254a6bc46375b4f14ec509032b83fb6c527cc479e31,investigations/geo-group/sources/2026-07-14-lead-63730-garcia-adelanto-wrongful-death-wave11/public-endpoint-probes.json
5dad488fbe21699f92a40fd00d9a7db2a2714b1b6ea7cc8edf44e199e925f6bf,investigations/geo-group/reports/2026-07-14-lead-63730-garcia-adelanto-wrongful-death-wave11-case-analysis.md
2df50e33c25c87b0c12260e8bedc0a0961599c99fe3460ef3dc76418519ddd09,investigations/geo-group/reports/2026-07-14-lead-63730-garcia-adelanto-wrongful-death-wave11-party-claim-disposition-matrix.csv
692257ce82bd7140f19b546c2160723fea9aec9c869016f5089db04d337157ef,investigations/geo-group/reports/2026-07-14-lead-63730-garcia-adelanto-wrongful-death-wave11-docket-document-ledger.csv
59e71bab18daa6368d392440b3c0200bb809f69b42666f5980b8e0f2074fba9d,investigations/geo-group/reports/2026-07-14-lead-63730-garcia-adelanto-wrongful-death-wave11-negative-missing-document-log.csv
3013c993cfb9bf828526490bee4d6425486b66ee277090c6a600d721294673aa,investigations/geo-group/reports/2026-07-14-lead-63730-garcia-adelanto-wrongful-death-wave11-source-finding-manifest.json
f38aedd2f3e84a59629fd867effb02f7fe761609556bafc2abf17c2862b0e7c3,scripts/build_geo_garcia_adelanto_wrongful_death_wave11.py
